class,words
ham,"['havent', 'planning', 'to', 'buy', 'later', 'check', 'already', 'lido', 'only', 'got', 'show', 'in', 'afternoon', 'finish', 'work', 'already']"
spam,"['your', 'free', 'ringtone', 'is', 'waiting', 'to', 'be', 'collected', 'simply', 'text', 'the', 'password', 'mix', 'to', 'to', 'verify', 'get', 'usher', 'and', 'britney', 'fml', 'po', 'box', 'mk', 'ppw']"
ham,"['watching', 'telugu', 'moviewat', 'abt']"
ham,"['see', 'when', 'we', 'finish', 'we', 'have', 'loads', 'of', 'loans', 'to', 'pay']"
ham,"['hi', 'wk', 'been', 'ok', 'on', 'hols', 'now', 'yes', 'on', 'for', 'bit', 'of', 'run', 'forgot', 'that', 'have', 'hairdressers', 'appointment', 'at', 'four', 'so', 'need', 'to', 'get', 'home', 'shower', 'beforehand', 'does', 'that', 'cause', 'prob', 'for']"
ham,"['see', 'cup', 'of', 'coffee', 'animation']"
ham,"['please', 'dont', 'text', 'me', 'anymore', 'have', 'nothing', 'else', 'to', 'say']"
ham,"['okay', 'name', 'ur', 'price', 'as', 'long', 'as', 'its', 'legal', 'wen', 'can', 'pick', 'them', 'up', 'ave', 'ams', 'xx']"
ham,"['im', 'still', 'looking', 'for', 'car', 'to', 'buy', 'and', 'have', 'not', 'gone', 'the', 'driving', 'test', 'yet']"
ham,"['as', 'per', 'your', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'has', 'been', 'set', 'as', 'your', 'callertune', 'for', 'all', 'callers', 'press', 'to', 'copy', 'your', 'friends', 'callertune']"
ham,"['wow', 'youre', 'right', 'didnt', 'mean', 'to', 'do', 'that', 'guess', 'once', 'gave', 'up', 'on', 'boston', 'men', 'and', 'changed', 'my', 'search', 'location', 'to', 'nyc', 'something', 'changed', 'cuz', 'on', 'my', 'signin', 'page', 'it', 'still', 'says', 'boston']"
ham,"['umma', 'my', 'life', 'and', 'vava', 'umma', 'love', 'you', 'lot', 'dear']"
ham,"['thanks', 'lot', 'for', 'your', 'wishes', 'on', 'my', 'birthday', 'thanks', 'you', 'for', 'making', 'my', 'birthday', 'truly', 'memorable']"
ham,"['aight', 'ill', 'hit', 'you', 'up', 'when', 'get', 'some', 'cash']"
ham,"['how', 'would', 'my', 'ip', 'address', 'test', 'that', 'considering', 'my', 'computer', 'isnt', 'minecraft', 'server']"
ham,"['know', 'grumpy', 'old', 'people', 'my', 'mom', 'was', 'like', 'you', 'better', 'not', 'be', 'lying', 'then', 'again', 'am', 'always', 'the', 'one', 'to', 'play', 'jokes']"
ham,"['dont', 'worry', 'guess', 'hes', 'busy']"
ham,"['what', 'is', 'the', 'plural', 'of', 'the', 'noun', 'research']"
ham,"['going', 'for', 'dinnermsg', 'you', 'after']"
ham,"['im', 'ok', 'wif', 'it', 'cos', 'like', 'try', 'new', 'things', 'but', 'scared', 'dun', 'like', 'mah', 'cos', 'said', 'not', 'too', 'loud']"
spam,"['gent', 'we', 'are', 'trying', 'to', 'contact', 'you', 'last', 'weekends', 'draw', 'shows', 'that', 'you', 'won', 'prize', 'guaranteed', 'call', 'claim', 'code', 'valid', 'hrs', 'only', 'ppm']"
ham,"['wa', 'ur', 'openin', 'sentence', 'very', 'formal', 'anyway', 'im', 'fine', 'too', 'juz', 'tt', 'im', 'eatin', 'too', 'much', 'puttin', 'on', 'weighthaha', 'so', 'anythin', 'special', 'happened']"
ham,"['as', 'entered', 'my', 'cabin', 'my', 'pa', 'said', 'happy', 'bday', 'boss', 'felt', 'special', 'she', 'askd', 'me', 'lunch', 'after', 'lunch', 'she', 'invited', 'me', 'to', 'her', 'apartment', 'we', 'went', 'there']"
spam,"['you', 'are', 'winner', 'have', 'been', 'specially', 'selected', 'receive', 'or', 'holiday', 'flights', 'inc', 'speak', 'to', 'live', 'operator', 'claim', 'pmin']"
ham,"['goodo', 'yes', 'we', 'must', 'speak', 'friday', 'eggpotato', 'ratio', 'for', 'tortilla', 'needed']"
ham,"['hmmmy', 'uncle', 'just', 'informed', 'me', 'that', 'hes', 'paying', 'the', 'school', 'directly', 'so', 'pls', 'buy', 'food']"
spam,"['private', 'your', 'account', 'statement', 'for', 'shows', 'unredeemed', 'bonus', 'points', 'to', 'claim', 'call', 'identifier', 'code', 'expires']"
spam,"['urgent', 'your', 'mobile', 'no', 'was', 'awarded', 'bonus', 'caller', 'prize', 'on', 'this', 'is', 'our', 'final', 'try', 'to', 'contact', 'call', 'from', 'landline', 'boxwrc', 'ppm']"
ham,"['here', 'is', 'my', 'new', 'address', 'applespairsall', 'that', 'malarky']"
spam,"['todays', 'voda', 'numbers', 'ending', 'are', 'selected', 'to', 'receive', 'award', 'if', 'you', 'have', 'match', 'please', 'call', 'quoting', 'claim', 'code', 'standard', 'rates', 'app']"
ham,"['am', 'going', 'to', 'sao', 'mu', 'today', 'will', 'be', 'done', 'only', 'at']"
ham,"['predict', 'wat', 'time', 'll', 'finish', 'buying']"
ham,"['good', 'stuff', 'will', 'do']"
ham,"['just', 'so', 'that', 'you', 'knowyetunde', 'hasnt', 'sent', 'money', 'yet', 'just', 'sent', 'her', 'text', 'not', 'to', 'bother', 'sending', 'so', 'its', 'over', 'you', 'dont', 'have', 'to', 'involve', 'yourself', 'in', 'anything', 'shouldnt', 'have', 'imposed', 'anything', 'on', 'you', 'in', 'the', 'first', 'place', 'so', 'for', 'that', 'apologise']"
ham,"['are', 'you', 'there', 'in', 'room']"
ham,"['hey', 'girl', 'how', 'hope', 'well', 'me', 'an', 'del', 'bak', 'again', 'long', 'time', 'no', 'give', 'me', 'call', 'sum', 'time', 'from', 'lucyxx']"
ham,"['kkhow', 'much', 'does', 'it', 'cost']"
ham,"['im', 'home']"
ham,"['dear', 'will', 'call', 'tmorrowpls', 'accomodate']"
ham,"['first', 'answer', 'my', 'question']"
spam,"['sunshine', 'quiz', 'wkly', 'win', 'top', 'sony', 'dvd', 'player', 'if', 'know', 'which', 'country', 'the', 'algarve', 'is', 'in', 'txt', 'ansr', 'to', 'sptyrone']"
spam,"['want', 'get', 'laid', 'tonight', 'want', 'real', 'dogging', 'locations', 'sent', 'direct', 'ur', 'mob', 'join', 'the', 'uks', 'largest', 'dogging', 'network', 'bt', 'txting', 'gravel', 'to', 'nt', 'eca', 'pmsgp']"
ham,"['only', 'haf', 'msn', 'its', 'yijuehotmailcom']"
ham,"['he', 'is', 'there', 'you', 'call', 'and', 'meet', 'him']"
ham,"['no', 'no', 'will', 'check', 'all', 'rooms', 'befor', 'activities']"
spam,"['youll', 'not', 'rcv', 'any', 'more', 'msgs', 'from', 'the', 'chat', 'svc', 'for', 'free', 'hardcore', 'services', 'text', 'go', 'to', 'if', 'get', 'nothing', 'must', 'age', 'verify', 'with', 'yr', 'network', 'try', 'again']"
ham,"['got', 'lazy', 'to', 'type', 'forgot', 'in', 'lect', 'saw', 'pouch', 'but', 'like', 'not', 'nice']"
ham,"['text', 'me', 'when', 'youre', 'on', 'the', 'way']"
ham,"['sir', 'waiting', 'for', 'your', 'mail']"
ham,"['swt', 'thought', 'nver', 'get', 'tired', 'of', 'doing', 'little', 'things', 'lovable', 'persons', 'cozsomtimes', 'those', 'little', 'things', 'occupy', 'biggest', 'part', 'in', 'their', 'hearts', 'gud', 'ni']"
ham,"['know', 'you', 'are', 'can', 'you', 'pls', 'open', 'the', 'back']"
ham,"['yes', 'see', 'ya', 'not', 'on', 'the', 'dot']"
ham,"['whats', 'the', 'staff', 'name', 'who', 'is', 'taking', 'class', 'for', 'us']"
spam,"['freemsg', 'why', 'havent', 'you', 'replied', 'to', 'my', 'text', 'im', 'randy', 'sexy', 'female', 'and', 'live', 'local', 'luv', 'to', 'hear', 'from', 'netcollex', 'ltd', 'per', 'msg', 'reply', 'stop', 'to', 'end']"
ham,"['ummmawill', 'call', 'after', 'check', 'inour', 'life', 'will', 'begin', 'from', 'qatar', 'so', 'pls', 'pray', 'very', 'hard']"
ham,"['ki', 'deleted', 'my', 'contact', 'that', 'why']"
ham,"['sindu', 'got', 'job', 'in', 'birla', 'soft']"
ham,"['the', 'wine', 'is', 'flowing', 'and', 'im', 'have', 'nevering']"
ham,"['yup', 'thk', 'cine', 'is', 'better', 'cos', 'no', 'need', 'go', 'down', 'plaza', 'mah']"
ham,"['ok', 'ur', 'typical', 'reply']"
ham,"['as', 'per', 'your', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'has', 'been', 'set', 'as', 'your', 'callertune', 'for', 'all', 'callers', 'press', 'to', 'copy', 'your', 'friends', 'callertune']"
ham,"['you', 'are', 'everywhere', 'dirt', 'on', 'the', 'floor', 'the', 'windows', 'even', 'on', 'my', 'shirt', 'and', 'sometimes', 'when', 'open', 'my', 'mouth', 'you', 'are', 'all', 'that', 'comes', 'flowing', 'out', 'dream', 'of', 'my', 'world', 'without', 'you', 'then', 'half', 'my', 'chores', 'are', 'out', 'too', 'time', 'of', 'joy', 'for', 'me', 'lots', 'of', 'tv', 'shows', 'ill', 'see', 'but', 'guess', 'like', 'all', 'things', 'you', 'just', 'must', 'exist', 'like', 'rain', 'hail', 'and', 'mist', 'and', 'when', 'my', 'time', 'here', 'is', 'done', 'you', 'and', 'become', 'one']"
ham,"['aaooooright', 'are', 'you', 'at', 'work']"
ham,"['im', 'leaving', 'my', 'house', 'now']"
ham,"['hello', 'my', 'love', 'what', 'are', 'you', 'doing', 'did', 'you', 'get', 'to', 'that', 'interview', 'today', 'are', 'you', 'you', 'happy', 'are', 'you', 'being', 'good', 'boy', 'do', 'you', 'think', 'of', 'meare', 'you', 'missing', 'me']"
spam,"['customer', 'service', 'annoncement', 'you', 'have', 'new', 'years', 'delivery', 'waiting', 'for', 'you', 'please', 'call', 'now', 'to', 'arrange', 'delivery']"
spam,"['you', 'are', 'winner', 'have', 'been', 'specially', 'selected', 'receive', 'cash', 'or', 'holiday', 'flights', 'inc', 'speak', 'to', 'live', 'operator', 'claim']"
ham,"['keep', 'yourself', 'safe', 'for', 'me', 'because', 'need', 'you', 'and', 'miss', 'you', 'already', 'and', 'envy', 'everyone', 'that', 'sees', 'you', 'in', 'real', 'life']"
ham,"['new', 'car', 'and', 'house', 'for', 'my', 'parentsi', 'have', 'only', 'new', 'job', 'in', 'hand']"
ham,"['im', 'so', 'in', 'love', 'with', 'you', 'im', 'excited', 'each', 'day', 'spend', 'with', 'you', 'you', 'make', 'me', 'so', 'happy']"
spam,"['pls', 'stop', 'bootydelious', 'is', 'inviting', 'you', 'to', 'be', 'her', 'friend', 'reply', 'yes', 'or', 'no', 'see', 'her', 'wwwsmsacubootydelious', 'stop', 'send', 'stop', 'frnd', 'to']"
spam,"['bangbabes', 'ur', 'order', 'is', 'on', 'the', 'way', 'should', 'receive', 'service', 'msg', 'download', 'ur', 'content', 'if', 'do', 'not', 'goto', 'wap', 'bangb', 'tv', 'on', 'ur', 'mobile', 'internetservice', 'menu']"
ham,"['place', 'all', 'ur', 'points', 'on', 'cultures', 'module', 'already']"
spam,"['urgent', 'we', 'are', 'trying', 'to', 'contact', 'you', 'last', 'weekends', 'draw', 'shows', 'that', 'you', 'have', 'won', 'prize', 'guaranteed', 'call', 'claim', 'code', 'valid', 'hrs', 'only']"
ham,"['hi', 'frnd', 'which', 'is', 'best', 'way', 'to', 'avoid', 'missunderstding', 'wit', 'our', 'beloved', 'ones']"
ham,"['great', 'escape', 'fancy', 'the', 'bridge', 'but', 'needs', 'her', 'lager', 'see', 'you', 'tomo']"
ham,"['yes', 'it', 'completely', 'in', 'out', 'of', 'formclark', 'also', 'utter', 'waste']"
ham,"['sir', 'need', 'axis', 'bank', 'account', 'no', 'and', 'bank', 'address']"
ham,"['hmmm', 'thk', 'sure', 'got', 'time', 'to', 'hop', 'ard', 'ya', 'can', 'go', 'free', 'abt', 'muz', 'call', 'to', 'discuss', 'liao']"
ham,"['what', 'time', 'you', 'coming', 'down', 'later']"
ham,"['bloody', 'hell', 'cant', 'believe', 'you', 'forgot', 'my', 'surname', 'mr', 'ill', 'give', 'clue', 'its', 'spanish', 'and', 'begins', 'with']"
ham,"['well', 'im', 'gonna', 'finish', 'my', 'bath', 'now', 'have', 'goodfine', 'night']"
ham,"['let', 'me', 'know', 'when', 'youve', 'got', 'the', 'money', 'so', 'carlos', 'can', 'make', 'the', 'call']"
ham,"['still', 'going', 'to', 'the', 'mall']"
ham,"['turns', 'out', 'my', 'friends', 'are', 'staying', 'for', 'the', 'whole', 'show', 'and', 'wont', 'be', 'back', 'til', 'ltgt', 'so', 'feel', 'free', 'to', 'go', 'ahead', 'and', 'smoke', 'that', 'ltgt', 'worth']"
ham,"['text', 'her', 'if', 'she', 'doesnt', 'reply', 'let', 'me', 'know', 'so', 'can', 'have', 'her', 'log', 'in']"
ham,"['hi', 'you', 'just', 'spoke', 'to', 'maneesha', 'wed', 'like', 'to', 'know', 'if', 'you', 'were', 'satisfied', 'with', 'the', 'experience', 'reply', 'toll', 'free', 'with', 'yes', 'or', 'no']"
ham,"['you', 'lifted', 'my', 'hopes', 'with', 'the', 'offer', 'of', 'money', 'am', 'in', 'need', 'especially', 'when', 'the', 'end', 'of', 'the', 'month', 'approaches', 'and', 'it', 'hurts', 'my', 'studying', 'anyways', 'have', 'gr', 'weekend']"
ham,"['lol', 'no', 'can', 'trust', 'me']"
ham,"['ok', 'am', 'gentleman', 'and', 'will', 'treat', 'you', 'with', 'dignity', 'and', 'respect']"
ham,"['he', 'will', 'you', 'guys', 'close']"
ham,"['going', 'on', 'nothing', 'greatbye']"
ham,"['hello', 'handsome', 'are', 'you', 'finding', 'that', 'job', 'not', 'being', 'lazy', 'working', 'towards', 'getting', 'back', 'that', 'net', 'for', 'mummy', 'wheres', 'my', 'boytoy', 'now', 'does', 'he', 'miss', 'me']"
ham,"['haha', 'awesome', 'be', 'there', 'in', 'minute']"
